Key,Value
pretty_great,123
yellowtail_belly,123
girls_night,123
during_dinner,123
hot_doug,122
rabbit_jambalaya,122
heart_attack,122
packed,122
tuna_tartare,122
tad_bit,122
busy_night,121
waffles,121
food_arrived,121
quality_sushi,121
NUM_weeks,121
little_slow,120
style_ribs,120
great_price,120
order_anything,120
decent,120
gets_pretty,120
entire_party,120
something,120
bit_disappointed,120
deviled_eggs,120
date,120
NUM_degrees,120
NUM_drinks,119
piquillo_peppertomato,119
gets_NUM,119
grilled_shrimp,119
couple_times,119
italian_restaurants,119
north_side,119
NUM_oz,119
breakfast_spot,119
hour_before,119
super_good,118
duck_quesadilla,118
asparagus_risotto,118
queso_cotija,118
casual_atmosphere,118
pizza_joint,118
home_made,118
always_friendly,118
flat_bread,118
dining_companion,118
definitely_order,118
limited_seating,117
NUM_glasses,117
jazz_music,117
end,117
caesar_salad,117
life,117
french_bread,117
liked,117
NUM_seconds,117
lived,117
nice_little,117
because_everything,117
quick,117
find_parking,117
really_fun,116
fresh_sushi,116
nothing,116
perfectly_fried,116
nt_put,116
super_excited,116
top_chef,116
pretty_long,116
perfectly_crispy,116
good_portion,116
norwegian_benedict,116
lively_atmosphere,116
large_portions,115
steak_tartare,115
cheese_pizza,115
meat,115
business,115
very_clean,115
bbq_chicken,115
heard_good,115
really_long,115
cafe_babareeba,114
pleasant_surprise,114
sports_bar,114
sundried_tomatoes,114
house_salad,114
friends_ordered,114
iced_tea,114
worth_waiting,114
past_NUM,114
many_sauces,114
saturday_evening,114
different,114
actually_really,114
steak_hash,114
told,114
NUM_person,114
during_happy,114
good_restaurant,114
nt_always,114
fat_elvis,114
great_prices,114
very_casual,113
once_seated,113
bell_peppers,113
salmon_skin,113
positive_reviews,113
try_any,113
nt_worth,113
malnati,113
korean_bbq,113
sea_scallops,113
elvis_waffles,113
valet_parking,113
NUM_piece,113
super_yummy,113
recommend_trying,113
nt_complain,113
peppertomato_sauce,113
brunch_places,113
vegetarian_food,113
girl,112
trying,112
favorite_chicago,112
line_moves,112
nt_any,112
quality_ingredients,112
very_fast,112
definitely_going,112
tapas_bar,112
real_thing,112
quite_possibly,112
drink_orders,111
high_ceilings,111
favorite_breakfast,111
despite_being,111
powdered_sugar,111
kale_salad,111
rib_pappardelle,111
nt_recall,111
cheese_crust,111
french_NUM,111
atomic_sauce,111
sun_dried,111
nt_disappointed,111
little_small,110
korean,110
michigan_avenue,110
generous_portions,110
beef_short,110
ink_pasta,110
good_friend,110
NUM_because,110
large_plates,110
definitely_coming,110
check,110
vegetarian_options,110
nom_nom,110
good_size,110
NUM_hr,110
only_tried,110
friendly,110
any_kind,110
crab_claws,110
very_fun,110
nt_compare,110
taleggio_cheese,110
favorite_bbq,109
west_coast,109
melted_cheese,109
frite_sauce,109
great_brunch,109
toasted_bread,109
pickled_peppers,109
outdoor_patio,109
bbq_joints,109
bit_slow,109
saying,109
another_couple,109
really_looking,109
bad_day,109
taste,108
half,108
nt_expecting,108
white_bean,108
another_great,108
sooooo_good,108
ordered_another,108
red_onions,108
sea_urchin,108
high_school,108
love_everything,108
perfect_combination,108
fried_oyster,108
any_restaurant,108
recent,108
ve_made,108
usually_order,108
used,108
dimly_lit,108
sloppy_goat,108
bbq_wings,107
tomato_mayo,107
fried_shrimp,107
fake_meat,107
sushi_rice,107
great_variety,107
favorite_brunch,107
great_tapas,107
great_burger,107
birthday_party,107
outside,107
eggplant_parmesan,107
very_expensive,107
boudin_balls,107
entire_time,107
believe,107
large,107
simply,106
great_dining,106
times_since,106
try_different,106
several_different,106
full_bar,106
white_fish,106
au_jus,106
vanilla_french,106
loud_music,106
usually,106
time_favorite,106
dark_wood,106
pretty_loud,106
favorite_things,106
days,106
soo_good,106
fairly_quickly,105
bleu_cheese,105
generous_portion,105
really_does,105
thinly_sliced,105
green_chile,105
good_spot,105
great_date,105
lacked_flavor,105
shrimp_risotto,105
luke_burger,105
quite_nice,105
very_limited,104
little_bland,104
mediocre_food,104
very_trendy,104
recommend_coming,104
boucherie_plate,104
ordered_something,104
malnati_salad,104
back_because,104
super_cute,104
steak_fries,104
put_together,104
fish,104
south,103
lunch_hour,103
pine_nuts,103
chicago_dogs,103
vanilla_sauce,103
crab_meat,103
write,103
fresh_squeezed,103
seated,103
cochon_butcher,103
korean_style,103
great_fries,103
mercat,103
small_table,103
blackstone_hotel,103
extra_cheese,103
rpm_italian,103
NUM_oysters,103
its_good,103
nt_particularly,102
nt_seat,102
good_breakfast,102
favorite_deep,102
nice_dinner,102
great_lunch,102
ba_ba,102
nt_bring,102
everything_tasted,102
finally_decided,102
ordered_several,102
dozen_oysters,102
great_quality,102
gets_really,102
cheese_fondue,102
ve_experienced,102
local,102
poor_service,102
black_beans,102
decent_food,102
classic_chicago,102
al_dente,101
holy,101
really_stood,101
nice_selection,101
mayo_sauce,101
numerous_times,101
teriyaki_mayo,101
very_different,101
brussel_sprout,101
poppy_seed,101
people_watch,101
braised_short,100
gets_very,100
chocolate_shake,100
hangar_steak,100
omg,100
NUM_tacos,100
promptly_seated,100
klub,100
spicy_king,100
NUM_miles,100
maybe_because,100
only_good,100
fried_food,100
great_staff,100
red_meat,100
salsa_verde,100
town_guests,100
time_because,100
dry_rub,100
dining_companions,100
very_satisfied,100
only_gripe,100
sashimi_special,100
rabbit_livers,100
good_atmosphere,100
pizza_hut,100
NUM_reservation,99
another_chance,99
beef_tenderloin,99
deepdish_pizza,99
english_muffin,99
definitely_check,99
great_little,99
west_loop,99
sassy_chicken,99
very_cute,99
crispy_fries,99
entire_life,99
wonderful_experience,99
hearing,99
fun_night,99
jose_garces,99
very_authentic,99
craft_beer,98
overrated,98
pretty_close,98
amazing_service,98
large_plate,98
really_bad,98
paper_bag,98
plain_jane,98
walked,98
cooked_salmon,98
NUM_day,98
quite_delicious,98
finally_seated,98
time_trying,98
chicagostyle_pizza,98
small_space,98
sweet,98
seated_quickly,98
dates_stuffed,98
sweet_potatoes,98
water_glasses,98
side,98
downtown,98
single_thing,98
pork_cheek,98
only_waited,98
including_tip,98
several_years,98
NUM_dollar,98
good_tapas,98
only_drawback,97
good_luck,97
french_press,97
fried_olives,97
friday_evening,97
waiting,97
half_price,97
nt_actually,97
pretty_bad,97
rating,97
anything,97
small_order,97
fired_oysters,97
pork_chops,97
loved_every,97
baby_backs,97
wine,97
quick_service,96
oysters,96
side_salad,96
nt_overly,96
short_wait,96
unlike_any,96
truffle_garlic,96
only_real,96
ambiance,96
wrong,96
style_deep,96
bloody_marys,96
giving,96
actually,96
really_hungry,96
afternoon,96
half_order,96
expectations,96
nt_offer,96
nt_serve,96
bachelorette_party,96
real,96
very_quick,96
crawfish_bisque,96
being_served,96
night_snack,96
vanilla_latte,96
grilled_onions,96
maiz_asado,96
egg_whites,96
nt_able,96
ve_lived,96
special_sauce,95
chicago_area,95
